Id,Location,Matrix,Created at,Updated at,Latitude,Longitude,Name,model,Property number,Group,Zone,Description,Status,Device sn,Scannable,Slot,Factory seq,Ipcam mac,Ipcam type,Id [Coordinate systems],Name [Coordinate systems],Created at [Coordinate systems],Updated at [Coordinate systems],Client [Coordinate systems],Info page url [Coordinate systems],Tourist map [Coordinate systems]
3477,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2022年01月05日 14:23,2024年03月03日 09:33, - , - ,L-3477,KM20,L-05-L-0538,0, - ,綠有耳,庫存,112108003477005,false,M-3, - , - ,none,,,,,,,
3479,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月26日 15:36,2024年03月14日 00:59,25.0427,121.508,L-3479,KM20,L-05-L-0475,0, - ,"綠有耳
",庫存,112108003479005,true, - , - , - ,none,123,成都楊桃冰,2022年05月05日 14:49,2022年05月05日 14:49,1, - ,<空>
3481,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月19日 13:58,2024年03月14日 00:51,25.0374,121.567,L-3481-信義區-127-1,KM20,L-05-L-0333,13, - ,綠有耳,租借,112108003481005,true, - , - , - ,none,190,信義第三區,2022年11月09日 17:04,2023年07月28日 12:15,1, - ,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUU3IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c7997304e423c363f89224d0a65f4b843f9d1bd5/%E9%97%9C%E5%8D%A1%E5%85%AD%E5%9C%B0%E5%9C%96.png
3482,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月26日 15:30,2024年03月13日 22:42,22.8908,120.623,L-3482,KM20,L-05-L-0470,0, - ,綠有耳,庫存,112108003482005,true,O-4, - , - ,none,249,茂林新威旅客中心-咖啡廳,2023年04月17日 17:49,2023年04月17日 17:49,1, - ,<空>
3484,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月19日 14:02,2024年03月14日 00:53,25.0376,121.564,L-3484,KM20,L-05-L-0232,9, - ,"綠有耳
",庫存,112108003484005,true, - , - , - ,none,120,臺北市政府西大門,2022年04月21日 13:25,2022年04月21日 13:25,1, - ,<空>
3486,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月26日 15:27,2024年03月03日 09:33, - , - ,L-3486,KM20,L-05-L-0465,0, - ,綠有耳,庫存,112108003486005,false,M-4, - , - ,none,,,,,,,
3487,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月26日 14:52,2024年03月03日 09:33, - , - ,L-3487,KM20,L-05-L-0433,0, - ,綠有耳,庫存,112108003487005,false,N-2, - , - ,none,,,,,,,
3488,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月19日 14:01,2024年03月14日 00:54,25.038,121.563,L-3488-北市府戶外,KM20,L-05-L-0234,9, - ,綠有耳,租借,112108003488005,true, - , - , - ,none,119,臺北市政府停車場出口,2022年04月18日 14:26,2022年04月18日 14:26,1, - ,<空>
3491,"---
x: '0.0'
""y"": '0.0'
z: '0.0'
rotate_x: '0.0'
rotate_y: '0.0'
rotate_z: '0.0'
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月19日 13:59,2024年03月08日 09:12, - , - ,L-3491-皇穹陵,KM20,L-05-L-0196,8, - ,綠有耳,庫存,112108003491005,true, - , - , - ,none,"107,7","皇穹陵咖啡廳,百老匯街","2022年02月22日 17:20,2021年01月05日 14:46","2022年02月22日 17:20,2021年01月05日 14:46","1, - "," - , - ","<空>,<空>"
3492,"---
x: 0.0
""y"": 0.0
z: 0.0
rotate_x: 0.0
rotate_y: 0.0
rotate_z: 0.0
","---
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
- 0.0
- 0.0
- -0.0
- 0.0
- 1.0
- 0.0
- 0.0
- 0.0
- 0.0
- 1.0
",2021年11月18日 16:19,2024年03月03日 09:33, - , - ,L-3492,KM20,L-05-L-0216,0, - ,綠有耳,庫存,112108003492005,false, - , - , - ,none,,,,,,,
